,Date,Average speed (km/h),Distance travelled (km),Average engine RPM (rpm),Vehicle speed (km/h),Driver Type
195,2020-11-24,30,22,2607,78,2
196,2020-11-25,28,9,2728,51,1
197,2020-11-26,31,6,2425,69,2
207,2020-11-27,34,18,3413,54,1
210,2020-11-28,24,20,2571,70,2
216,2020-11-29,42,22,2447,50,1
217,2020-11-30,24,13,3251,65,2
219,2020-12-01,24,31,2337,62,2
220,2020-12-02,27,26,3125,60,1
226,2020-12-03,29,8,2713,48,1
228,2020-12-04,20,13,3612,59,1
234,2020-12-05,25,15,2328,85,3
239,2020-12-06,29,25,2614,81,3
240,2020-12-07,27,14,2882,65,2
244,2020-12-08,30,13,2701,80,2
245,2020-12-09,29,26,3473,75,2
246,2020-12-10,25,28,3570,67,2
247,2020-12-11,27,6,3162,57,1
249,2020-12-12,32,26,2409,48,1
251,2020-12-13,30,6,2473,41,1
259,2020-12-14,23,15,2844,61,2
260,2020-12-15,83,27,3705,55,1
264,2020-12-16,23,22,2621,48,1
266,2020-12-17,28,13,2827,68,2
267,2020-12-18,39,15,2453,54,1
270,2020-12-19,28,9,3150,54,1
272,2020-12-20,44,30,2496,81,3
273,2020-12-21,29,28,2428,73,2
275,2020-12-22,26,12,3174,44,1
276,2020-12-23,31,26,3119,75,2
277,2020-12-24,41,23,2463,51,1
278,2020-12-25,32,11,2575,86,3
287,2020-12-26,26,18,2713,59,1
288,2020-12-27,18,22,3788,77,2
290,2020-12-28,23,22,2349,78,2
293,2020-12-29,29,12,3296,60,1
297,2020-12-30,22,6,2500,69,2
300,2020-12-31,34,6,2496,71,2
303,2021-01-01,34,6,3145,52,1
305,2021-01-02,33,22,3103,60,1
306,2021-01-03,30,14,3103,60,1
307,2021-01-04,38,4,2596,71,2
311,2021-01-05,38,13,2578,81,3
314,2021-01-06,28,15,3083,73,2
318,2021-01-07,30,9,2728,65,2
319,2021-01-08,29,17,2663,59,1
320,2021-01-09,23,11,3083,58,1
326,2021-01-10,27,14,2785,51,1
327,2021-01-11,31,26,2479,41,1
329,2021-01-12,25,20,2506,59,1
335,2021-01-13,30,14,2725,82,3
336,2021-01-14,30,8,2966,67,2
340,2021-01-15,30,13,2835,62,2
343,2021-01-16,22,24,3427,85,3
353,2021-01-17,28,14,2753,71,2
356,2021-01-18,30,11,2769,88,3
357,2021-01-19,24,15,2882,62,2
359,2021-01-20,31,22,2925,56,1
362,2021-01-21,30,3,2693,79,2
365,2021-01-22,28,6,3304,65,2
371,2021-01-23,23,13,3661,60,1
372,2021-01-24,25,6,3271,69,2
373,2021-01-25,22,13,3103,73,2
375,2021-01-26,37,6,2513,60,1
379,2021-01-27,25,6,3207,86,3
380,2021-01-28,28,13,3000,60,1
381,2021-01-29,24,28,3125,47,1
383,2021-01-30,26,12,3093,54,1
388,2021-01-31,23,16,2283,78,2
391,2021-02-01,38,23,2394,79,2
400,2021-02-02,23,3,3221,78,2
402,2021-02-03,28,23,3364,48,1
408,2021-02-04,27,19,3283,67,2
413,2021-02-05,184,25,2823,62,2
414,2021-02-06,34,26,2256,80,2
422,2021-02-07,36,11,3347,75,2
425,2021-02-08,35,11,3119,62,2
427,2021-02-09,28,10,2806,75,2
428,2021-02-10,41,32,3188,44,1
434,2021-02-11,28,30,3271,88,3
436,2021-02-12,28,15,2663,56,1
437,2021-02-13,23,28,2682,72,2
442,2021-02-14,26,5,2773,59,1
446,2021-02-15,26,11,2832,68,2
448,2021-02-16,28,17,2500,71,2
454,2021-02-17,47,22,2629,54,1
456,2021-02-18,28,30,2713,75,2
459,2021-02-19,29,14,2616,59,1
462,2021-02-20,23,13,3002,70,2
465,2021-02-21,38,14,2701,59,1
466,2021-02-22,29,22,2519,80,2
468,2021-02-23,22,17,2357,55,1
473,2021-02-24,24,15,2736,70,2
477,2021-02-25,28,10,3028,63,2
480,2021-02-26,22,24,2769,61,2
481,2021-02-27,25,6,2971,76,2
482,2021-02-28,23,17,2920,69,2
484,2021-03-01,26,30,3471,78,2
485,2021-03-02,34,4,2674,58,1
486,2021-03-03,27,16,2557,64,2
489,2021-03-04,30,13,2721,41,1
491,2021-03-05,26,15,3204,54,1
495,2021-03-06,29,14,2322,85,3
496,2021-03-07,32,11,2701,86,3
500,2021-03-08,22,26,3304,56,1
502,2021-03-09,23,15,3347,56,1
503,2021-03-10,23,9,2920,66,2
508,2021-03-11,28,25,2450,47,1
510,2021-03-12,34,11,2757,79,2
511,2021-03-13,28,16,2713,41,1
512,2021-03-14,25,9,2666,50,1
515,2021-03-15,21,27,2560,86,3
516,2021-03-16,184,23,3612,60,1
525,2021-03-17,35,18,2713,55,1
530,2021-03-18,29,13,2476,77,2
533,2021-03-19,26,14,2476,71,2
540,2021-03-20,29,10,2479,61,2
543,2021-03-21,26,10,3091,67,2
548,2021-03-22,30,13,2640,50,1
550,2021-03-23,29,6,2866,48,1
551,2021-03-24,26,33,2394,44,1
555,2021-03-25,44,12,2736,41,1
556,2021-03-26,26,29,2479,69,2
561,2021-03-27,23,15,3324,76,2
563,2021-03-28,26,22,2819,72,2
566,2021-03-29,24,12,2798,62,2
567,2021-03-30,24,32,3204,52,1
568,2021-03-31,26,28,3251,51,1
570,2021-04-01,20,14,3065,79,2
572,2021-04-02,31,24,16383,60,1
579,2021-04-03,26,29,2744,78,2
580,2021-04-04,30,11,2857,59,1
582,2021-04-05,29,26,2412,62,2
587,2021-04-06,26,3,3413,62,2
588,2021-04-07,29,6,3028,65,2
589,2021-04-08,31,28,3109,56,1
596,2021-04-09,21,23,2582,44,1
599,2021-04-10,26,30,3129,55,1
600,2021-04-11,40,13,3162,78,2
601,2021-04-12,23,13,2713,47,1
603,2021-04-13,28,9,2425,55,1
607,2021-04-14,83,32,3376,68,2
608,2021-04-15,24,6,2744,68,2
613,2021-04-16,36,15,2256,71,2
614,2021-04-17,24,32,2421,53,1
618,2021-04-18,26,22,2971,60,1
622,2021-04-19,33,10,2428,54,1
624,2021-04-20,28,6,2596,88,3
625,2021-04-21,30,10,3251,48,1
626,2021-04-22,26,13,2844,56,1
627,2021-04-23,18,21,2513,75,2
632,2021-04-24,25,14,2571,77,2
635,2021-04-25,32,15,2678,80,2
636,2021-04-26,44,23,3307,79,2
637,2021-04-27,28,12,3364,67,2
640,2021-04-28,32,17,2793,41,1
646,2021-04-29,29,19,3271,42,1
649,2021-04-30,44,31,2725,57,1
653,2021-05-01,30,22,3043,65,2
654,2021-05-02,30,15,3058,81,3
664,2021-05-03,33,30,2560,57,1
670,2021-05-04,43,14,2685,64,2
671,2021-05-05,18,24,3093,78,2
673,2021-05-06,45,4,2819,60,1
676,2021-05-07,42,6,3304,65,2
681,2021-05-08,30,6,2557,80,2
682,2021-05-09,28,14,3297,67,2
683,2021-05-10,30,11,2882,57,1
684,2021-05-11,29,3,3028,79,2
690,2021-05-12,30,12,2849,53,1
691,2021-05-13,45,6,2500,47,1
692,2021-05-14,26,12,2757,47,1
693,2021-05-15,33,10,3742,55,1
695,2021-05-16,29,22,2256,70,2
699,2021-05-17,30,22,2879,48,1
700,2021-05-18,23,17,2337,85,3
706,2021-05-19,28,28,2713,82,3
711,2021-05-20,23,9,2283,78,2
716,2021-05-21,24,24,3467,65,2
720,2021-05-22,66,8,2713,44,1
731,2021-05-23,44,11,2476,52,1
733,2021-05-24,29,11,2621,59,1
746,2021-05-25,35,15,3376,78,2
747,2021-05-26,65,12,3705,44,1
751,2021-05-27,22,11,2391,42,1
754,2021-05-28,27,33,2879,62,2
756,2021-05-29,21,15,2421,59,1
757,2021-05-30,26,12,2819,85,3
761,2021-05-31,30,13,3043,63,2
764,2021-06-01,30,12,3438,73,2
765,2021-06-02,38,30,2560,54,1
773,2021-06-03,29,13,3469,41,1
775,2021-06-04,20,13,2915,77,2
785,2021-06-05,30,22,3069,57,1
793,2021-06-06,31,22,2879,61,2
794,2021-06-07,43,11,3324,57,1
795,2021-06-08,25,6,2760,52,1
798,2021-06-09,34,14,3404,73,2
799,2021-06-10,29,7,2460,88,3
801,2021-06-11,28,13,2394,67,2
803,2021-06-12,27,21,2917,88,3
805,2021-06-13,27,21,2957,65,2
809,2021-06-14,23,11,2571,72,2
822,2021-06-15,27,15,3186,41,1
829,2021-06-16,32,15,3043,59,1
831,2021-06-17,20,10,2434,86,3
832,2021-06-18,24,14,2647,53,1
836,2021-06-19,36,22,3069,67,2
839,2021-06-20,30,5,2957,80,2
845,2021-06-21,24,8,2406,65,2
846,2021-06-22,24,14,2857,77,2
852,2021-06-23,34,14,2693,69,2
854,2021-06-24,44,24,2272,54,1
856,2021-06-25,28,6,2453,57,1
859,2021-06-26,25,28,2463,77,2
864,2021-06-27,25,30,2500,60,1
867,2021-06-28,30,26,2496,59,1
868,2021-06-29,28,21,3296,54,1
870,2021-06-30,24,6,3098,58,1
874,2021-07-01,28,6,2616,61,2
877,2021-07-02,34,33,2409,77,2
881,2021-07-03,34,13,2529,60,1
882,2021-07-04,30,9,2957,71,2
888,2021-07-05,26,23,2322,41,1
891,2021-07-06,27,21,2862,56,1
893,2021-07-07,30,13,2753,53,1
895,2021-07-08,21,18,2421,67,2
903,2021-07-09,30,25,3150,57,1
906,2021-07-10,26,6,3065,51,1
909,2021-07-11,38,11,2614,41,1
910,2021-07-12,29,26,3377,61,2
911,2021-07-13,38,15,2509,64,2
913,2021-07-14,31,12,2496,51,1
916,2021-07-15,26,23,2862,76,2
917,2021-07-16,26,15,2840,47,1
919,2021-07-17,30,12,2557,52,1
920,2021-07-18,39,16,2513,41,1
921,2021-07-19,23,6,2697,85,3
926,2021-07-20,28,23,2610,56,1
927,2021-07-21,27,23,3469,53,1
930,2021-07-22,47,10,3207,55,1
932,2021-07-23,31,32,2764,62,2
940,2021-07-24,42,33,3162,80,2
941,2021-07-25,23,4,2957,53,1
942,2021-07-26,26,10,3188,60,1
943,2021-07-27,23,20,2764,78,2
945,2021-07-28,46,22,3294,55,1
951,2021-07-29,28,10,3661,53,1
954,2021-07-30,28,18,2272,42,1
956,2021-07-31,27,7,3478,79,2
957,2021-08-01,38,13,3427,70,2
961,2021-08-02,66,6,2844,70,2
962,2021-08-03,28,27,2328,68,2
964,2021-08-04,25,25,2496,50,1
966,2021-08-05,18,28,2496,59,1
974,2021-08-06,22,30,3174,63,2
978,2021-08-07,36,15,2529,42,1
979,2021-08-08,24,30,2596,67,2
983,2021-08-09,34,13,3251,66,2
985,2021-08-10,27,14,2503,68,2
987,2021-08-11,34,3,3707,55,1
989,2021-08-12,31,27,2536,73,2
991,2021-08-13,31,11,2721,53,1
994,2021-08-14,31,13,2457,88,3
998,2021-08-15,25,20,2736,72,2
