,Date,UserID,DrivingDistance,Avg_Speed,Numbers_fast_accelerating_8,Numbers_fast_accelerating_9,Numbers_fast_accelerating_10,Numbers_fast_accelerating_11,Numbers_fast_accelerating_12,Numbers_fast_accelerating_13,Numbers_fast_accelerating_14,Numbers_fast_accelerating_15,Numbers_fast_accelerating_16,Numbers_fast_accelerating_17,Numbers_hard_braking_8,Numbers_hard_braking_9,Numbers_hard_braking_10,Numbers_hard_braking_11,Numbers_hard_braking_12,Numbers_hard_braking_13,Numbers_hard_braking_14,Numbers_hard_braking_15,Numbers_hard_braking_16,Numbers_hard_braking_17,Avg_coolant_temperature,Max_coolant_temperature,Min_coolant_temperature,Avg_engine_rpm,Max_engine_rpm,Min_engine_rpm,Max_speed
10,2021-03-30 09:43:06.464,mcu1,13.930285172826187,65.82066703116458,13,20,0,2,10,8,8,5,7,0,17,2,2,8,3,3,1,6,0,5,89.43590850237378,215.0,57.0,962.1028911564624,3136.0,193.0,65.0
11,2020-09-18 21:13:53.598,mcu2,25.36207566634845,45.79545454545455,11,13,0,12,1,7,5,4,0,0,31,5,1,1,12,4,4,2,2,3,90.1358531909066,96.0,61.0,978.0361317747078,3002.0,161.0,78.0
12,2021-01-04 07:51:20.849,mcu2,203.0317138302285,28.17302259887005,0,8,0,5,6,2,0,3,3,6,21,14,1,8,3,0,0,0,10,0,82.1177358490566,98.0,50.0,1567.8578169881,3427.0,123.0,80.0
13,2021-02-24 18:55:34.236,mcu1,13.110957300768751,23.406052393857284,15,9,0,5,0,2,0,6,0,4,25,5,10,11,5,4,6,5,5,3,87.26925845932325,97.0,49.0,990.777147087858,3306.0,160.0,80.0
14,2021-04-20 08:58:18.839,mcu1,37.89803339611362,41.1910251642494,31,1,0,13,5,0,0,4,2,3,9,22,7,11,2,4,6,5,5,2,77.43681968764791,90.0,60.0,946.7832710549009,2482.0,608.0,77.0
15,2021-02-26 11:42:06.583,mcu1,49.188873770163056,37.827800239166336,10,1,9,2,0,1,5,0,2,5,31,10,4,1,0,1,11,3,1,7,90.30357788218286,101.0,62.0,1102.859995356397,3069.0,225.0,91.0
16,2020-09-01 17:49:24.933,mcu2,189.6938592322168,47.057221965851404,18,1,16,1,12,1,6,1,2,1,12,10,6,0,0,7,5,4,7,1,86.69012753897024,90.0,39.0,964.783150303229,2378.0,168.0,101.0
17,2021-02-03 10:29:33.722,mcu2,33.787956613702555,25.068456375838927,17,2,8,5,8,0,6,6,4,6,3,10,0,1,1,0,0,4,5,4,89.60313258327818,215.0,90.0,1050.128319821079,3065.0,560.0,53.0
18,2020-09-23 20:45:28.864,mcu1,57.02658654463561,29.93935483870968,11,4,3,1,6,1,5,1,3,0,1,5,0,12,8,0,1,2,5,0,88.18079584775087,89.0,69.0,926.6065837013248,3065.0,529.0,54.0
19,2020-12-09 07:54:52.625,mcu1,41.257252962550815,26.64264264264264,10,1,12,3,2,0,0,7,5,0,2,7,1,7,3,3,7,1,5,4,89.22356792144026,93.0,72.0,1054.0077110389611,4163.0,623.0,62.0
20,2021-01-11 07:36:29.643,mcu2,186.68155986510067,30.01776325138553,15,0,2,2,5,5,2,2,4,1,23,6,0,1,0,3,4,4,0,0,87.92741061755146,97.0,55.0,1279.389631043257,2536.0,575.0,78.0
21,2020-11-04 21:25:46.768,mcu1,62.732281842360784,28.30574433656957,20,22,12,0,12,4,2,5,1,5,6,18,8,2,1,6,5,2,10,3,93.33955223880596,215.0,38.0,981.8390572390573,2920.0,552.0,93.0
22,2020-11-30 07:51:02.105,mcu2,70.27444420492873,27.648065948002532,20,22,5,3,1,1,3,3,0,0,15,14,4,12,5,2,3,5,7,3,88.19420692603676,94.0,60.0,981.892032434338,2582.0,120.0,65.0
23,2021-01-13 19:12:02.637,mcu1,225.40663032224182,28.718034617532105,18,10,7,13,0,1,2,3,0,6,23,22,8,12,7,2,4,5,2,2,87.30892337536372,101.0,43.0,1056.5043562439496,2536.0,132.0,53.0
24,2021-01-12 09:30:15.429,mcu2,28.116189289419196,27.49304482225657,22,12,16,13,10,8,0,0,0,1,12,12,3,3,0,7,6,4,4,0,81.47070626003209,97.0,85.0,1030.0808466342817,3083.0,143.0,67.0
25,2020-12-01 11:14:44.529,mcu2,55.420568940704854,29.25743944636678,8,22,3,2,5,4,1,0,2,2,13,6,4,0,1,6,5,4,2,7,89.60552845528456,99.0,73.0,1023.3715547872853,2457.0,137.0,63.0
26,2020-12-30 17:59:59.593,mcu2,5.515505380508364,30.18600953895072,12,10,9,1,4,2,6,1,5,0,10,3,0,1,8,3,5,6,7,1,88.25740637227501,93.0,44.0,992.5826842420613,2585.0,569.0,81.0
27,2020-11-02 17:39:43.832,mcu2,12.05496992665335,28.766373902133,19,21,1,16,11,6,5,2,1,5,31,4,14,0,2,7,6,7,1,3,90.30357788218286,91.0,215.0,1102.859995356397,3204.0,300.0,58.0
28,2020-09-26 08:41:40.390,mcu2,42.80639737370529,25.530290456431537,15,12,12,1,11,8,0,1,0,1,6,2,0,2,0,3,7,3,0,3,92.18047959612957,215.0,74.0,941.2601105249936,3043.0,396.0,66.0
29,2021-02-14 20:21:05.431,mcu1,74.27071256157878,30.01776325138553,17,18,18,6,2,0,6,5,4,2,17,12,4,2,5,2,0,0,4,8,87.25946126447019,91.0,71.0,1004.148538011696,2543.0,585.0,69.0
30,2020-08-18 19:59:27.342,mcu1,262.3859440923624,27.91656350581827,3,4,6,4,11,8,1,2,4,0,2,2,4,6,3,6,0,4,3,2,89.12960025380711,90.0,87.0,900.1515453639082,3347.0,124.0,57.0
31,2021-03-17 20:36:15.114,mcu1,23.92872580009963,31.174076393237318,19,7,0,5,11,5,2,0,1,4,7,12,3,2,2,3,0,2,2,0,89.1748660496834,90.0,215.0,988.6941747572816,2546.0,579.0,47.0
32,2020-08-15 08:18:41.341,mcu1,13.410438301889048,33.31403803131991,29,18,3,13,0,5,6,6,0,0,13,10,2,5,5,5,11,7,5,3,86.23501701125359,89.0,72.0,1009.0819672131148,2957.0,584.0,57.0
33,2020-12-24 07:54:40.651,mcu2,4.803804569557829,21.60156024270442,15,22,1,3,10,1,1,7,0,4,5,8,14,1,0,3,2,0,2,1,89.39854128679345,95.0,92.0,993.6433632998413,3788.0,182.0,68.0
34,2020-12-10 18:21:31.747,mcu1,63.44559407381972,27.95510281079041,18,15,0,2,0,1,6,6,2,0,1,8,5,7,9,11,7,6,3,1,87.85601317957165,91.0,44.0,1430.03591160221,2910.0,300.0,104.0
35,2021-01-02 19:22:13.795,mcu1,10.498100873674217,27.540386130811658,19,2,8,16,1,4,6,5,7,6,31,1,0,0,0,11,2,0,0,0,86.7975759264419,92.0,64.0,1238.9215202369198,2357.0,575.0,56.0
36,2021-03-23 18:08:49.155,mcu1,15.79375469306876,26.51901016060308,11,1,2,16,10,2,1,6,3,0,0,0,6,4,6,0,0,7,7,5,92.63061282123694,92.0,30.0,1045.4035541195476,3788.0,123.0,255.0
37,2020-11-05 07:54:40.604,mcu1,15.21569588355376,21.08848715509039,21,13,5,4,0,8,5,2,7,1,19,1,7,7,0,6,0,2,4,0,87.92741061755146,90.0,88.0,985.673209249859,3098.0,159.0,105.0
38,2021-02-26 20:36:15.305,mcu2,11.89059290036931,23.70247933884297,4,8,3,0,5,0,8,6,0,2,6,12,1,1,8,3,1,0,5,1,86.74988409828467,90.0,48.0,946.7832710549009,2571.0,198.0,75.0
39,2020-10-05 17:51:53.831,mcu1,287.9922618248758,25.45407788390889,16,7,18,12,0,7,0,2,2,3,7,12,0,12,12,2,4,7,1,0,87.94516883985291,95.0,53.0,944.5997157745143,2421.0,134.0,62.0
40,2021-01-21 18:39:06.270,mcu2,6.366916061906247,30.943604108309987,11,21,2,1,4,8,1,1,1,0,22,14,2,8,12,5,6,3,4,1,89.32823779193205,92.0,36.0,981.140761674068,2516.0,0.0,65.0
41,2020-10-06 08:58:32.657,mcu2,38.35045045087103,29.267765190525232,1,10,17,6,8,4,1,0,5,0,5,4,2,2,5,6,11,10,0,4,92.20419779437924,92.0,25.0,1141.0905864279282,2529.0,161.0,69.0
42,2020-09-26 08:41:40.390,mcu2,164.4432398323292,30.188690301787286,8,14,10,0,2,0,8,3,1,2,6,7,8,5,12,5,7,7,4,7,89.21970383801752,92.0,49.0,1142.4264117385505,2911.0,529.0,81.0
43,2021-03-07 16:44:58.984,mcu2,8.589456690535528,21.439535754399106,4,3,1,7,2,5,6,6,0,2,2,8,16,3,1,0,1,6,4,1,86.81165367254822,93.0,30.0,1430.03591160221,2431.0,560.0,109.0
44,2021-02-26 07:50:49.346,mcu2,4.389193525178803,33.243673851921265,6,13,1,3,0,2,8,2,2,2,13,17,6,1,0,0,1,10,2,5,88.71833983682156,90.0,36.0,990.740348479672,3091.0,591.0,109.0
45,2020-08-04 17:19:21.333,mcu2,5.206126665656805,26.559345983044004,3,6,1,4,5,0,3,0,4,6,6,7,14,1,3,6,11,2,1,0,86.1179706601467,94.0,85.0,1000.3918390162102,2529.0,182.0,95.0
46,2020-12-01 11:14:44.529,mcu2,23.62953845794313,29.22366030881017,1,3,3,0,6,7,0,5,0,1,0,9,1,4,8,1,2,0,4,2,88.50451897971479,98.0,48.0,1014.9329130294212,2971.0,706.0,73.0
47,2021-03-17 20:36:15.114,mcu1,96.16904125110264,36.29916317991632,16,14,0,1,2,1,8,6,0,6,17,1,5,2,0,3,2,3,2,2,89.13257740950718,91.0,31.0,1046.332169709989,2866.0,143.0,42.0
48,2020-11-20 15:50:28.449,mcu2,92.93834412558864,34.69157303370787,18,13,4,7,11,7,1,5,1,6,22,14,16,6,2,4,0,0,0,1,87.59910358565737,95.0,52.0,1026.5427426536064,2610.0,617.0,72.0
49,2020-09-16 19:24:42.361,mcu2,12.840434039911635,31.361140443505807,12,21,8,2,1,2,6,7,0,6,25,1,3,2,4,7,5,5,2,8,87.37862270672693,94.0,64.0,1037.7940729483282,2827.0,529.0,77.0
50,2020-12-28 07:51:10.703,mcu1,130.58195300944888,26.70972127804215,2,8,12,2,0,0,1,7,7,2,4,20,2,2,5,4,1,10,5,4,88.07262295081968,89.0,33.0,1052.725,2585.0,591.0,90.0
51,2021-02-23 18:11:01.052,mcu1,22.09191875008832,29.147721582373556,20,10,10,6,10,2,2,4,2,1,6,7,1,12,3,0,6,0,2,3,88.2012278308322,90.0,89.0,944.5997157745143,2911.0,570.0,70.0
52,2020-12-22 19:03:51.291,mcu1,37.76200584249085,27.513086989992303,10,10,9,2,6,0,2,0,1,6,7,18,5,2,1,0,2,6,5,5,92.96544399967323,92.0,63.0,1019.358839050132,3275.0,139.0,82.0
53,2021-03-19 08:55:33.892,mcu1,60.24554443764259,34.352346999405825,3,21,3,13,0,6,2,1,7,0,3,3,6,1,6,0,7,7,3,5,92.40955414012737,98.0,73.0,13190.692083333333,2674.0,143.0,79.0
54,2021-01-19 20:35:17.839,mcu1,63.44559407381972,27.04483775811209,16,7,16,4,6,5,0,2,1,4,17,4,0,4,0,7,2,3,2,0,87.92741061755146,93.0,50.0,1073.2567344694887,2425.0,645.0,52.0
55,2020-11-30 18:55:31.085,mcu2,37.68604181606044,27.298115211043267,22,21,7,3,1,8,3,0,7,0,0,12,0,1,2,11,2,5,4,8,86.15830618892508,91.0,53.0,1098.2385834109973,3307.0,179.0,54.0
56,2020-11-03 09:48:41.504,mcu1,14.65671263231626,28.30574433656957,8,20,7,7,5,5,0,7,2,5,11,0,14,1,0,0,0,6,1,2,86.1719532554257,99.0,38.0,1015.2513317191284,2760.0,174.0,110.0
57,2021-01-24 18:06:06.771,mcu1,177.34993713094917,46.78482142857143,15,13,0,13,2,4,8,5,1,1,13,5,1,6,1,2,1,1,0,8,85.06975381008206,92.0,39.0,1094.487814622453,2701.0,552.0,68.0
58,2021-02-19 08:48:54.483,mcu2,89.87203973097931,36.29916317991632,27,7,4,4,1,7,8,0,5,6,3,7,10,12,2,1,3,6,10,1,77.43681968764791,93.0,74.0,1016.2929594272076,3186.0,56.0,90.0
59,2021-03-24 07:48:00.199,mcu1,13.930285172826187,29.21951219512195,18,4,7,12,0,1,2,7,0,4,21,1,16,11,12,6,4,5,3,1,86.26671100764881,92.0,48.0,1077.9040910322406,2513.0,150.0,52.0
60,2021-04-20 08:58:18.839,mcu2,3.5352626852365003,30.03054032889585,29,18,10,2,5,4,3,4,4,1,10,11,5,4,0,2,6,4,2,3,88.0098199672668,97.0,65.0,1098.2385834109973,2546.0,180.0,77.0
61,2021-01-18 18:11:32.529,mcu1,62.732281842360784,25.16277985074627,31,20,9,12,12,7,5,1,5,3,3,0,7,4,1,3,11,1,1,3,215.0,96.0,65.0,1016.2929594272076,16383.0,576.0,71.0
62,2021-04-15 19:41:52.117,mcu1,79.33791238900241,30.530996309963104,9,12,6,2,1,8,6,5,0,1,22,2,0,5,0,0,11,1,1,8,88.62835926449787,94.0,51.0,943.4162191192266,3119.0,569.0,48.0
63,2021-01-05 10:22:36.551,mcu2,28.59613198750837,29.31771090281204,15,0,17,7,10,5,6,4,0,5,21,11,2,0,0,1,6,10,2,8,87.88452285485165,95.0,63.0,1015.2513317191284,3011.0,179.0,105.0
64,2020-12-30 17:59:59.593,mcu1,57.39433179563738,29.22366030881017,22,9,17,7,12,0,2,7,3,0,19,10,8,0,5,1,1,2,4,7,77.58025247971146,99.0,82.0,1048.6479086016432,3000.0,588.0,85.0
65,2021-01-21 18:39:06.270,mcu1,225.40663032224182,35.362660944206006,16,7,9,4,11,1,3,7,1,0,21,6,10,1,4,6,7,10,0,5,88.59678624813154,89.0,57.0,1134.6867202449291,3173.0,595.0,103.0
66,2021-01-29 11:42:54.747,mcu2,89.20009409540516,25.974607013301092,9,2,0,16,12,0,2,6,1,5,4,18,5,3,4,2,7,0,2,7,92.51369495166487,92.0,48.0,2080.646840148699,3705.0,219.0,114.0
67,2021-02-01 18:16:32.062,mcu1,14.656760224538846,25.375480563861604,0,14,2,12,8,5,8,1,4,2,9,12,5,11,8,11,0,2,4,7,90.22438418546885,98.0,58.0,974.0614823498762,3570.0,591.0,65.0
68,2020-12-01 11:14:44.529,mcu2,198.63889129712598,65.82066703116458,17,7,0,9,0,2,4,7,2,1,21,9,5,4,3,2,2,2,3,1,87.74815192454754,90.0,69.0,1008.7362931265044,2406.0,0.0,79.0
69,2021-03-31 20:42:56.947,mcu1,22.09191875008832,39.667197452229296,17,6,10,2,5,4,2,7,4,3,2,14,14,11,3,7,7,6,7,1,86.69658976930792,97.0,61.0,962.325944045253,3438.0,133.0,53.0
70,2021-03-08 18:16:15.626,mcu1,241.30231939692538,36.29916317991632,16,13,7,2,6,1,0,6,7,4,7,1,4,7,9,3,0,6,5,5,87.10411899313502,89.0,33.0,984.156982670744,2701.0,561.0,107.0
71,2021-02-26 19:48:54.412,mcu1,72.8045103356572,30.83956916099773,18,15,12,3,6,6,2,7,0,2,3,2,16,3,4,2,5,6,7,1,86.75665399239544,96.0,75.0,999.8965769455823,2757.0,121.0,52.0
72,2021-03-30 09:43:06.464,mcu1,64.36164551817852,29.25743944636678,11,2,16,1,0,2,1,2,5,1,25,18,7,1,9,1,6,7,1,5,87.80426431041107,98.0,71.0,940.8634209392503,3221.0,546.0,94.0
73,2021-02-26 19:48:54.412,mcu2,68.44735772065745,25.25478767693589,10,7,0,0,6,6,6,7,1,1,4,22,6,6,1,11,3,3,0,1,86.78287461773701,94.0,73.0,1000.8136707851734,3162.0,159.0,68.0
74,2021-02-04 17:55:44.006,mcu1,36.524112494216546,39.667197452229296,1,12,5,12,0,8,0,7,3,2,10,11,4,2,2,2,3,0,4,4,84.35657800143781,92.0,58.0,1142.2105001656178,2793.0,575.0,80.0
75,2021-02-03 10:29:33.722,mcu1,71.74791326782156,83.33257532689028,1,1,4,0,0,6,0,0,1,4,23,17,5,0,9,4,2,3,2,7,88.98771972068384,98.0,51.0,989.9434082779763,2906.0,596.0,105.0
76,2020-11-20 15:50:28.449,mcu1,63.44559407381972,29.43534994068802,25,2,4,2,10,7,6,1,7,1,4,18,3,6,7,0,5,1,4,7,86.69658976930792,215.0,52.0,1034.5610344827587,3742.0,141.0,77.0
77,2021-01-26 11:13:03.077,mcu1,9.221183261215279,24.91228070175439,2,12,7,2,12,1,3,3,1,2,11,12,16,6,9,11,2,0,10,7,85.36874757658006,91.0,63.0,1133.7272271435734,2409.0,695.0,81.0
78,2020-12-30 17:59:59.593,mcu2,26.20391735162444,29.24820143884892,21,3,4,12,0,7,6,6,3,4,9,5,7,6,0,11,5,0,3,0,80.24159797083071,215.0,38.0,1061.6107784431138,3103.0,225.0,65.0
79,2020-11-12 17:55:01.574,mcu2,156.08013950122537,21.958654235914068,4,0,4,0,6,4,0,6,0,1,19,2,16,6,4,6,6,4,0,2,84.72477064220182,97.0,45.0,1123.9755708127097,3478.0,338.0,94.0
80,2021-04-15 09:08:33.175,mcu1,160.79322207291384,30.83956916099773,13,2,0,0,1,4,0,7,1,0,22,7,10,7,9,3,6,7,1,7,89.3290825363089,93.0,84.0,981.7984716157204,3120.0,187.0,51.0
81,2021-04-08 19:56:15.705,mcu1,202.94183686885128,30.84124087591241,27,13,8,12,10,4,6,5,1,3,13,17,4,11,4,2,4,7,0,4,87.20303204759163,99.0,36.0,1029.4449373695197,3742.0,135.0,72.0
82,2021-04-09 18:00:40.048,mcu1,22.261658310921888,31.699729486023447,21,5,0,1,8,0,6,4,3,6,31,20,4,2,8,0,0,3,1,3,85.74314493564633,96.0,31.0,990.9666829189014,3011.0,217.0,60.0
83,2020-11-30 07:51:02.105,mcu1,49.81605477636009,39.5791910331384,31,1,16,3,8,2,6,3,0,3,8,7,2,1,4,0,0,0,0,8,88.42088266953715,92.0,86.0,1004.2046292763575,2713.0,588.0,76.0
84,2020-11-04 21:25:46.768,mcu1,64.36164551817852,24.32885211995864,9,8,5,6,2,1,2,4,3,0,1,11,16,1,2,4,4,2,1,5,93.47083969465649,215.0,46.0,999.9429819770617,2431.0,690.0,63.0
85,2020-11-06 12:58:59.468,mcu2,287.9922618248758,22.831373866308365,10,12,9,13,4,7,4,6,1,6,0,17,10,1,4,6,2,0,1,3,90.22438418546885,90.0,90.0,1021.1350601295096,2728.0,618.0,95.0
86,2020-11-05 18:23:59.386,mcu1,18.645667893894387,27.51963963963964,12,12,18,4,2,0,4,5,4,4,2,4,2,3,4,0,4,3,5,3,86.26671100764881,92.0,49.0,1092.412747938489,2793.0,585.0,50.0
87,2020-12-25 08:41:40.837,mcu2,142.34388871609883,30.659041394335514,16,13,12,4,10,0,0,7,4,1,15,2,1,3,0,0,4,4,2,0,86.1719532554257,89.0,89.0,1061.6107784431138,3173.0,545.0,93.0
88,2020-11-23 07:54:57.317,mcu2,6.023652226058218,28.483948635634032,13,18,2,13,1,0,2,4,7,2,23,14,4,12,0,4,4,3,5,2,86.80533900307111,95.0,61.0,1075.3454179254784,2910.0,690.0,57.0
89,2020-12-04 10:35:19.770,mcu1,128.11910502880798,19.83742911153119,31,21,17,1,5,2,0,0,7,4,8,7,1,2,1,4,2,5,0,8,87.83679525222551,99.0,64.0,992.2690454950937,3251.0,150.0,52.0
90,2021-02-05 20:07:42.786,mcu2,11.433277342381833,24.91228070175439,11,0,7,4,0,2,4,7,7,2,23,18,7,7,9,4,1,1,5,5,88.73433172633091,97.0,76.0,1056.5043562439496,2557.0,599.0,88.0
91,2021-04-20 18:33:57.130,mcu2,38.93775307340331,17.315636363636365,2,0,1,9,1,5,6,0,1,0,14,4,1,5,0,1,1,2,5,2,92.20419779437924,91.0,44.0,1047.6793997271486,2607.0,662.0,117.0
92,2020-12-22 09:46:31.173,mcu2,202.94183686885128,22.76696832579185,9,7,18,0,12,6,4,7,4,1,9,4,3,11,6,7,2,6,3,2,87.74985010193069,215.0,84.0,1715.5165339126238,2862.0,575.0,62.0
93,2021-01-26 16:00:33.361,mcu1,14.110129523869002,27.543956043956047,4,8,2,0,10,0,4,3,4,4,5,11,0,2,6,7,7,3,2,0,87.35680592991913,91.0,57.0,1019.3321756894792,3661.0,339.0,65.0
94,2021-02-01 10:53:56.584,mcu1,57.93101598385143,26.811713030746702,21,3,4,2,1,7,8,4,0,2,15,11,1,8,4,5,5,6,7,5,86.42924776433456,98.0,92.0,1077.9040910322406,3612.0,170.0,52.0
95,2021-01-19 18:54:51.389,mcu1,45.60821972094404,28.22469252601703,12,15,18,9,0,1,6,5,1,1,5,22,6,1,0,7,7,4,2,3,90.2794292508918,89.0,74.0,1011.3190754516472,3204.0,156.0,81.0
96,2020-09-23 20:45:28.864,mcu2,43.72427683906243,27.95510281079041,7,5,17,6,1,5,0,2,0,3,19,20,7,1,7,3,11,3,5,7,92.40277349768877,94.0,87.0,1028.348456756462,2400.0,198.0,51.0
97,2021-01-21 08:22:06.847,mcu2,15.220205702641273,18.500954198473284,27,3,2,1,0,1,0,4,0,6,6,22,10,11,5,4,5,0,3,7,88.39174956114687,96.0,49.0,1006.2697719553613,3093.0,296.0,53.0
98,2020-12-01 10:17:41.149,mcu1,292.59267202887736,27.298115211043267,13,6,1,7,8,1,0,5,2,5,0,12,10,6,12,5,0,0,10,7,87.44470989761093,99.0,43.0,1163.052097902098,3304.0,579.0,48.0
99,2020-12-23 20:36:07.042,mcu1,106.5241455759697,30.10324585635359,12,5,2,16,10,1,2,1,3,1,11,4,2,12,4,11,6,1,1,5,88.10575377692061,89.0,75.0,981.8422962014513,2500.0,582.0,44.0
100,2020-10-08 06:49:55.514,mcu1,28.59613198750837,21.439535754399106,31,6,1,3,8,7,4,5,2,1,1,6,6,4,9,1,7,3,5,8,77.58025247971146,91.0,57.0,970.5175869120654,3056.0,610.0,60.0
101,2020-09-18 21:13:53.598,mcu2,75.07564039058822,28.710594989561585,9,2,2,2,6,7,0,1,1,4,14,22,16,11,4,2,0,6,0,4,85.74314493564633,96.0,87.0,13190.692083333333,2349.0,134.0,91.0
102,2021-02-22 08:31:56.789,mcu2,49.81605477636009,31.699729486023447,5,10,2,0,5,1,0,5,0,3,10,3,10,7,4,6,11,1,7,3,90.22081277895231,97.0,42.0,1000.8136707851734,3467.0,214.0,77.0
103,2021-04-09 18:00:40.048,mcu1,70.81059854860659,30.58084507042253,19,15,16,7,2,7,0,1,0,1,11,20,0,6,8,1,11,6,1,2,89.10935945511594,90.0,84.0,1009.1620309630017,3471.0,225.0,72.0
104,2021-03-19 08:55:33.892,mcu1,20.010926825114502,24.887284841754585,7,14,17,6,6,0,0,6,1,1,14,0,16,5,7,3,6,6,0,0,89.39204756596062,215.0,74.0,1098.9170363265796,2793.0,137.0,90.0
105,2021-01-14 18:07:30.100,mcu1,178.58259682446308,30.659041394335514,11,9,17,13,1,7,2,0,0,0,3,4,8,1,8,11,4,6,4,8,77.58025247971146,92.0,75.0,930.3927904638803,2192.0,183.0,109.0
106,2021-04-03 10:49:56.790,mcu2,18.698466179977164,28.905388069275173,13,1,16,1,1,0,0,2,1,2,2,11,7,3,4,11,3,1,2,8,90.21753328309471,98.0,39.0,1033.3306896551724,3229.0,147.0,65.0
107,2020-11-23 07:54:57.317,mcu2,78.73050221401549,28.718034617532105,4,1,4,6,2,8,8,5,0,0,14,11,14,4,2,6,6,5,3,2,87.86081003993155,92.0,42.0,1016.6731551423593,2349.0,332.0,64.0
108,2020-12-29 09:59:25.565,mcu2,64.36164551817852,28.066890495867767,5,10,10,5,0,0,1,0,0,1,12,11,16,1,12,6,6,0,3,0,80.24159797083071,91.0,71.0,1052.9764505119454,2215.0,173.0,57.0
109,2021-03-04 08:44:01.268,mcu1,57.02658654463561,32.928988764044945,5,12,0,0,0,0,2,6,4,3,2,6,1,7,2,1,0,6,10,2,87.88452285485165,97.0,55.0,999.7450213371267,2476.0,690.0,72.0
110,2020-11-30 18:55:31.085,mcu1,26.41225599754784,33.26599387276987,29,1,1,1,4,1,0,6,0,4,13,6,10,2,7,3,3,2,1,0,89.12960025380711,95.0,65.0,978.0361317747078,3109.0,536.0,44.0
111,2020-12-21 07:53:09.246,mcu1,57.22734540467193,29.329169728141068,15,7,2,12,2,4,8,0,3,0,21,1,4,6,4,2,0,2,0,5,88.18079584775087,96.0,58.0,1000.7336698337292,2966.0,588.0,79.0
112,2021-02-14 20:21:05.431,mcu2,14.543691958874865,23.90912395492548,19,15,0,3,0,7,6,4,7,1,23,2,0,12,7,0,6,6,7,3,87.22896157510321,92.0,82.0,1033.7794104707434,2713.0,611.0,91.0
113,2020-12-23 20:36:07.042,mcu2,11.445260281608169,24.81655992680696,19,1,8,16,2,4,1,0,7,4,0,12,16,8,4,11,1,7,3,3,88.19363891487372,92.0,77.0,1110.15844495263,2492.0,597.0,51.0
